City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Hay River,CA,2021-12-02 09:13:28,60.8156,-115.7999,-1.26,98,96,1.9
194,San Ramon De La Nueva Oran,AR,2021-12-02 09:13:28,-23.1322,-64.326,78.42,52,96,0.54
195,Pisco,PE,2021-12-02 09:13:29,-13.7,-76.2167,63.01,82,0,6.91
196,Chirilagua,SV,2021-12-02 09:13:29,13.2203,-88.1386,67.82,72,22,4.07
197,Sohag,EG,2021-12-02 09:13:30,26.557,31.6948,69.44,37,100,16.8
198,Kirakira,SB,2021-12-02 09:13:31,-10.4544,161.9205,80.71,81,59,3.53
199,Klyuchi,RU,2021-12-02 09:13:31,52.2667,79.1667,29.7,76,2,12.1
200,Rongcheng,CN,2021-12-02 09:13:32,30.634,117.8517,49.33,40,0,5.01
201,Tasiilaq,GL,2021-12-02 09:13:33,65.6145,-37.6368,28.56,95,99,5.1
202,Whyalla,AU,2021-12-02 09:13:33,-33.0333,137.5833,64.29,72,24,20.71
203,Cockburn Town,TC,2021-12-02 09:13:34,21.4612,-71.1419,80.2,75,1,14.16
204,Lom Sak,TH,2021-12-02 09:13:34,16.7798,101.2422,79.16,55,100,6.62
205,Kansanshi,ZM,2021-12-02 09:13:35,-12.0951,26.4273,83.01,39,85,6.76
206,Dillon,US,2021-12-02 09:13:36,34.4166,-79.3712,51.26,59,47,6.38
207,Bilibino,RU,2021-12-02 09:13:36,68.0546,166.4372,-30.66,97,33,7.4
208,Sann,PK,2021-12-02 09:13:37,26.0418,68.1378,84.31,12,0,11.45
209,Sale,MA,2021-12-02 09:13:38,34.0389,-6.8166,54.28,100,90,3.44
210,Faanui,PF,2021-12-02 09:13:38,-16.4833,-151.75,80.73,72,100,18.07
211,Pangody,RU,2021-12-02 09:13:39,65.85,74.4859,8.4,95,100,18.72
212,Ahipara,NZ,2021-12-02 09:13:39,-35.1667,173.1667,62.6,88,98,5.44
213,Adeje,ES,2021-12-02 09:13:40,28.1227,-16.726,68.31,57,20,1.99
214,Andros Town,BS,2021-12-02 09:10:12,24.7,-77.7667,74.35,65,5,3.42
215,Fernandopolis,BR,2021-12-02 09:13:41,-20.2839,-50.2464,69.85,78,3,2.08
216,Clyde River,CA,2021-12-02 09:13:42,70.4692,-68.5914,8.83,78,100,18.41
217,Arraial Do Cabo,BR,2021-12-02 09:13:42,-22.9661,-42.0278,73.26,94,40,4.61
218,Port Shepstone,ZA,2021-12-02 09:13:43,-30.7414,30.455,76.08,76,100,10.36
219,Gamba,GA,2021-12-02 09:13:43,-2.65,10.0,83.43,67,92,3.06
220,Puerto Escondido,MX,2021-12-02 09:12:19,15.85,-97.0667,76.51,69,1,4.85
221,Touho,NC,2021-12-02 09:13:44,-20.7833,165.2333,78.67,82,92,11.97
