City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
479,Nieuw Amsterdam,SR,5.8833,-55.0833,79.02,85,40,5.75,scattered clouds
480,Capaci,IT,38.1711,13.2393,57.74,82,75,13.8,broken clouds
481,Hay River,CA,60.8156,-115.7999,-23.82,76,1,5.75,clear sky
482,Hobara,JP,37.8167,140.55,43.57,55,12,1.99,few clouds
483,Jingdezhen,CN,29.2947,117.2079,52.3,50,5,2.42,clear sky
484,Stokmarknes,NO,68.5646,14.9108,20.14,64,0,5.59,clear sky
485,Qui Nhon,VN,13.7667,109.2333,70.41,77,100,17.76,overcast clouds
486,Nantucket,US,41.2835,-70.0995,42.96,70,1,9.22,clear sky
487,Guerrero Negro,MX,27.9769,-114.0611,62.96,82,90,18.34,overcast clouds
488,Taltal,CL,-25.4,-70.4833,63.9,74,27,2.17,scattered clouds
489,Banes,CU,20.9625,-75.7186,75.81,83,59,8.41,broken clouds
490,Alugan,PH,12.2188,125.4808,78.3,80,55,18.7,broken clouds
491,Sobolevo,RU,54.4299,31.8996,26.64,92,100,5.93,overcast clouds
492,Haines Junction,CA,60.7522,-137.5108,-31.05,68,10,0.0,clear sky
493,Mednogorsk,RU,51.4128,57.595,22.12,86,61,7.27,broken clouds
494,Saint Anthony,US,45.0205,-93.218,32.95,60,90,0.0,light snow
495,Marsh Harbour,BS,26.5412,-77.0636,75.99,61,99,9.71,overcast clouds
496,Wajid,SO,3.8093,43.2471,73.44,63,100,10.69,overcast clouds
497,Biak,ID,-0.9131,122.8766,78.06,83,100,3.49,overcast clouds
498,Braco Do Norte,BR,-28.275,-49.1656,64.71,98,96,1.77,overcast clouds
499,Sinegorye,RU,62.0788,150.477,-31.5,93,14,3.56,few clouds
500,Kerrville,US,30.0474,-99.1403,71.55,86,1,5.75,clear sky
501,Shieli,KZ,44.1667,66.75,40.82,57,100,7.56,overcast clouds
502,Pevek,RU,69.7008,170.3133,-27.09,100,37,3.4,scattered clouds
503,Miquelon,PM,47.0975,-56.3814,32.14,54,100,31.03,overcast clouds
504,Cordoba,AR,-31.4135,-64.1811,76.24,73,0,4.61,clear sky
505,Samarai,PG,-10.6167,150.6667,84.04,71,100,6.02,overcast clouds
506,Nyurba,RU,63.2842,118.3319,9.23,94,100,6.02,overcast clouds
507,Saint-Jerome,CA,45.7804,-74.0036,22.57,77,100,0.16,overcast clouds
508,Baijiantan,CN,45.6333,85.1833,30.13,58,100,6.02,overcast clouds
509,Loiza,PR,18.4313,-65.8802,80.87,86,40,11.5,scattered clouds
510,Finnsnes,NO,69.2296,17.9811,19.36,95,10,5.35,clear sky
511,Kirksville,US,40.1948,-92.5833,40.12,33,1,3.0,clear sky
512,Tazovskiy,RU,67.4667,78.7,-30.68,100,46,4.9,scattered clouds
513,Andenes,NO,69.3143,16.1194,17.58,67,3,10.36,clear sky
514,Ketchikan,US,55.3422,-131.6461,30.67,93,40,4.61,scattered clouds
515,Craig,US,40.5153,-107.5464,49.62,56,1,3.44,clear sky
516,Syasstroy,RU,60.1367,32.5691,7.54,91,100,7.96,overcast clouds
517,Shelburne,CA,44.0787,-80.2041,31.89,81,93,13.22,overcast clouds
518,Yima,CN,34.7381,111.8839,42.33,39,0,7.07,clear sky
519,Abu Dhabi,AE,24.4667,54.3667,73.96,67,75,4.61,broken clouds
520,Tabou,CI,4.423,-7.3528,79.48,82,7,5.39,clear sky
521,Puerto Maldonado,PE,-12.6,-69.1833,79.83,69,19,2.55,few clouds
522,Gimli,CA,50.6336,-96.9907,15.82,73,100,11.5,overcast clouds
523,Chara,RU,56.9064,118.2631,9.5,77,24,2.95,few clouds
524,Isabela,PH,6.7085,121.9711,80.65,71,91,6.69,overcast clouds
